Price;obname;price;quty;dirTrigger;AgTrigger;Oid;ag2;Oid2;bestask;bestbid
Price;lvmh;14679;13;A;paul;2;paul;1;14054;14679
Price;lvmh;14054;66;B;paul;2;paul;6;14054;14177
Price;lvmh;14392;12;B;paul;5;paul;9;14392;14399
Price;lvmh;14399;9;A;paul;11;paul;9;14028;14399
Price;lvmh;14177;33;A;paul;11;paul;6;14028;14177
Price;lvmh;14028;37;B;paul;11;paul;12;14028;14270
Price;lvmh;14028;11;B;paul;11;paul;13;14028;14193
Price;lvmh;14193;66;A;paul;14;paul;13;14120;14193
Price;lvmh;14120;12;B;paul;14;paul;16;14120;14402
Price;lvmh;14120;14;B;paul;14;paul;17;14120;14411
Price;lvmh;14411;43;A;paul;18;paul;17;14128;14411
Price;lvmh;14128;3;B;paul;18;paul;23;14128;14603
Price;lvmh;14464;13;B;paul;21;paul;23;14464;14603
Price;lvmh;14464;33;B;paul;21;paul;24;14464;14737
Price;lvmh;14524;37;B;paul;19;paul;24;14524;14737
Price;lvmh;14524;49;B;paul;19;paul;25;14524;14706
Price;lvmh;14535;1;B;paul;3;paul;25;14535;14706
Price;lvmh;14364;61;B;paul;26;paul;38;14364;14520
Price;lvmh;14390;20;B;paul;28;paul;38;14390;14520
Price;lvmh;14390;43;B;paul;28;paul;41;14390;14530
Price;lvmh;14340;45;A;paul;44;paul;30;14197;14340
Price;lvmh;14340;46;A;paul;45;paul;30;14278;14340
Price;lvmh;14331;32;A;paul;45;paul;43;14278;14331
Price;lvmh;14390;23;B;paul;28;paul;48;14390;14568
Price;lvmh;14481;8;B;paul;35;paul;48;14481;14568
Price;lvmh;14331;21;A;paul;49;paul;43;14006;14331
Price;lvmh;14216;40;A;paul;49;paul;34;14006;14216
Price;lvmh;14083;7;A;paul;49;paul;27;14006;14083
Price;lvmh;14481;13;B;paul;35;paul;50;14481;14976
Price;lvmh;14104;26;B;paul;51;paul;54;14104;14109
Price;lvmh;14481;69;B;paul;35;paul;55;14481;14655
Price;lvmh;14535;16;B;paul;3;paul;55;14535;14655
Price;lvmh;14535;40;B;paul;3;paul;56;14535;14877
Price;lvmh;14535;27;B;paul;3;paul;60;14535;14801
Price;lvmh;14558;55;B;paul;37;paul;60;14558;14801
Price;lvmh;14558;6;B;paul;37;paul;64;14558;14706
Price;lvmh;14565;28;B;paul;33;paul;64;14565;14706
Price;lvmh;14424;16;A;paul;65;paul;63;14229;14424
Price;lvmh;14305;31;A;paul;65;paul;59;14229;14305
Price;lvmh;14565;61;B;paul;33;paul;66;14565;14990
Price;lvmh;14566;9;B;paul;20;paul;66;14566;14990
Price;lvmh;14305;20;A;paul;71;paul;59;14248;14305
Price;lvmh;14248;19;B;paul;71;paul;76;14248;14468
Price;lvmh;14182;13;A;paul;80;paul;57;14065;14182
Price;lvmh;14109;13;A;paul;80;paul;54;14065;14109
Price;lvmh;14198;44;B;paul;79;paul;87;14198;14919
Price;lvmh;14248;42;B;paul;71;paul;87;14248;14919
Price;lvmh;14248;10;B;paul;71;paul;89;14248;14286
Price;lvmh;14335;39;B;paul;67;paul;92;14335;14696
Price;lvmh;14346;22;B;paul;82;paul;92;14346;14696
Price;lvmh;14346;10;B;paul;82;paul;93;14346;14639
Price;lvmh;14357;43;B;paul;86;paul;93;14357;14639
Price;lvmh;14357;37;B;paul;86;paul;95;14357;14746
Price;lvmh;14370;34;B;paul;77;paul;95;14370;14746
Price;lvmh;14286;13;A;paul;96;paul;89;14066;14286
Price;lvmh;14210;24;A;paul;96;paul;88;14066;14210
Price;lvmh;14194;12;A;paul;96;paul;84;14066;14194
Price;lvmh;14194;9;A;paul;97;paul;84;14165;14194
Price;lvmh;14181;23;A;paul;97;paul;83;14165;14181
Price;lvmh;14169;16;A;paul;97;paul;94;14165;14169
Price;lvmh;14370;41;B;paul;77;paul;101;14370;14698
Price;lvmh;14433;15;B;paul;91;paul;101;14433;14698
Price;lvmh;14277;34;B;paul;102;paul;105;14277;14697
Price;lvmh;14277;7;B;paul;102;paul;106;14277;14512
Price;lvmh;14433;14;B;paul;91;paul;106;14433;14512
Price;lvmh;14480;37;B;paul;81;paul;106;14480;14512
Price;lvmh;14512;25;A;paul;108;paul;106;14223;14512
Price;lvmh;14512;3;A;paul;109;paul;106;14174;14512
Price;lvmh;14233;40;A;paul;109;paul;98;14174;14233
Price;lvmh;14515;12;B;paul;99;paul;110;14515;14828
Price;lvmh;14515;36;B;paul;99;paul;112;14515;14824
Price;lvmh;14233;40;A;paul;113;paul;98;14038;14233
Price;lvmh;14211;28;A;paul;113;paul;104;14038;14211
Price;lvmh;14391;85;B;paul;116;paul;122;14391;14885
Price;lvmh;14391;2;B;paul;116;paul;124;14391;14480
Price;lvmh;14460;48;B;paul;120;paul;124;14460;14480
Price;lvmh;14467;31;B;paul;117;paul;124;14467;14480
Price;lvmh;14342;40;A;paul;125;paul;115;14040;14342
Price;lvmh;14211;24;A;paul;125;paul;104;14040;14211
Price;lvmh;14169;17;A;paul;125;paul;94;14040;14169
Price;lvmh;14169;12;A;paul;125;paul;119;14040;14169
Price;lvmh;14169;47;A;paul;126;paul;119;14166;14169
Price;lvmh;14169;24;A;paul;128;paul;119;14066;14169
Price;lvmh;14206;30;B;paul;127;paul;129;14206;14679
Price;lvmh;14206;51;B;paul;127;paul;130;14206;14425
Price;lvmh;14467;24;B;paul;117;paul;133;14467;14846
Price;lvmh;14515;17;B;paul;99;paul;133;14515;14846
Price;lvmh;14515;1;B;paul;99;paul;135;14515;14871
Price;lvmh;14520;63;B;paul;100;paul;135;14520;14871
Price;lvmh;14520;19;B;paul;100;paul;138;14520;14721
Price;lvmh;14534;13;B;paul;111;paul;138;14534;14721
Price;lvmh;14457;25;A;paul;141;paul;134;14015;14457
Price;lvmh;14425;32;A;paul;141;paul;130;14015;14425
Price;lvmh;14425;2;A;paul;143;paul;130;14032;14425
Price;lvmh;14412;55;A;paul;143;paul;139;14032;14412
Price;lvmh;14534;52;B;paul;111;paul;146;14534;14982
Price;lvmh;14534;22;B;paul;123;paul;146;14534;14982
Price;lvmh;14534;36;B;paul;123;paul;148;14534;14864
Price;lvmh;14566;35;B;paul;20;paul;148;14566;14864
Price;lvmh;14412;4;A;paul;153;paul;139;14378;14412
Price;lvmh;14391;26;A;paul;153;paul;150;14378;14391
Price;lvmh;14385;43;A;paul;153;paul;149;14378;14385
Price;lvmh;14378;22;B;paul;153;paul;158;14378;14747
Price;lvmh;14566;10;B;paul;20;paul;158;14566;14747
Price;lvmh;14579;37;B;paul;22;paul;158;14579;14747
Price;lvmh;14586;22;B;paul;8;paul;158;14586;14747
Price;lvmh;14586;26;B;paul;8;paul;159;14586;14973
Price;lvmh;14583;89;A;paul;164;paul;161;14469;14583
Price;lvmh;14408;20;A;paul;166;paul;165;14015;14408
Price;lvmh;14376;36;A;paul;166;paul;144;14015;14376
Price;lvmh;14451;17;B;paul;168;paul;170;14451;14459
Price;lvmh;14451;12;B;paul;168;paul;171;14451;14804
Price;lvmh;14376;37;A;paul;174;paul;144;14193;14376
Price;lvmh;14255;15;A;paul;174;paul;172;14193;14255
Price;lvmh;14451;6;B;paul;168;paul;175;14451;14826
Price;lvmh;14469;7;B;paul;164;paul;175;14469;14826
Price;lvmh;14524;19;B;paul;169;paul;175;14524;14826
Price;lvmh;14586;1;B;paul;8;paul;175;14586;14826
Price;lvmh;14600;19;B;paul;52;paul;175;14600;14826
Price;lvmh;14613;30;B;paul;121;paul;175;14613;14826
Price;lvmh;14523;25;A;paul;179;paul;178;14260;14523
Price;lvmh;14613;23;B;paul;121;paul;182;14613;14889
Price;lvmh;14626;48;B;paul;68;paul;182;14626;14889
Price;lvmh;14550;21;A;paul;183;paul;180;14385;14550
Price;lvmh;14523;10;A;paul;183;paul;178;14385;14523
Price;lvmh;14456;2;A;paul;183;paul;176;14385;14456
Price;lvmh;14626;18;B;paul;68;paul;185;14626;14805
Price;lvmh;14549;46;A;paul;186;paul;184;14316;14549
Price;lvmh;14456;42;A;paul;186;paul;176;14316;14456
Price;lvmh;14456;8;A;paul;189;paul;176;14205;14456
Price;lvmh;14426;4;A;paul;189;paul;177;14205;14426
Price;lvmh;14626;9;B;paul;68;paul;191;14626;14976
Price;lvmh;14634;29;B;paul;53;paul;191;14634;14976
Price;lvmh;14426;88;A;paul;192;paul;177;14247;14426
Price;lvmh;14290;2;A;paul;192;paul;190;14247;14290
Price;lvmh;14290;74;A;paul;193;paul;190;14145;14290
Price;lvmh;14255;3;A;paul;193;paul;172;14145;14255
Price;lvmh;14623;46;A;paul;197;paul;194;14312;14623
Price;lvmh;14255;75;A;paul;201;paul;172;14230;14255
Price;lvmh;14248;7;A;paul;201;paul;160;14230;14248
Price;lvmh;14248;3;A;paul;202;paul;160;14152;14248
Price;lvmh;14230;39;A;paul;202;paul;188;14152;14230
Price;lvmh;14209;15;A;paul;202;paul;152;14152;14209
Price;lvmh;14312;13;B;paul;197;paul;203;14312;14593
Price;lvmh;14593;45;A;paul;204;paul;203;14275;14593
Price;lvmh;14634;7;B;paul;53;paul;206;14634;14789
Price;lvmh;14644;58;B;paul;118;paul;206;14644;14789
Price;lvmh;14593;13;A;paul;211;paul;203;14459;14593
Price;lvmh;14591;38;A;paul;211;paul;209;14459;14591
Price;lvmh;14591;17;A;paul;212;paul;209;14523;14591
Price;lvmh;14591;1;A;paul;213;paul;209;14382;14591
Price;lvmh;14382;48;B;paul;213;paul;217;14382;14761
Price;lvmh;14644;7;B;paul;118;paul;217;14644;14761
Price;lvmh;14649;27;B;paul;31;paul;217;14649;14761
Price;lvmh;14322;42;A;paul;218;paul;214;14246;14322
Price;lvmh;14475;55;A;paul;220;paul;219;14225;14475
Price;lvmh;14322;44;A;paul;220;paul;214;14225;14322
Price;lvmh;14649;19;B;paul;31;paul;221;14649;14737
Price;lvmh;14670;14;B;paul;10;paul;221;14670;14737
Price;lvmh;14673;36;B;paul;215;paul;221;14673;14737
Price;lvmh;14674;22;B;paul;157;paul;221;14674;14737
Price;lvmh;14607;53;A;paul;223;paul;222;14338;14607
Price;lvmh;14338;35;B;paul;223;paul;224;14338;14762
Price;lvmh;14674;46;B;paul;157;paul;224;14674;14762
Price;lvmh;14322;11;A;paul;225;paul;214;14288;14322
Price;lvmh;14288;22;B;paul;225;paul;226;14288;14972
Price;lvmh;14674;11;B;paul;157;paul;226;14674;14972
Price;lvmh;14708;21;B;paul;69;paul;226;14708;14972
Price;lvmh;14246;14;A;paul;230;paul;207;14129;14246
Price;lvmh;14209;18;A;paul;230;paul;152;14129;14209
Price;lvmh;14209;18;A;paul;232;paul;152;14207;14209
Price;lvmh;14207;42;B;paul;232;paul;234;14207;14379
Price;lvmh;14353;48;B;paul;227;paul;234;14353;14379
Price;lvmh;14353;4;B;paul;227;paul;235;14353;14471
Price;lvmh;14471;45;A;paul;236;paul;235;14142;14471
Price;lvmh;14471;6;A;paul;238;paul;235;14321;14471
Price;lvmh;14321;13;B;paul;238;paul;242;14321;14805
Price;lvmh;14199;13;A;paul;246;paul;156;14030;14199
Price;lvmh;14187;20;A;paul;246;paul;151;14030;14187
Price;lvmh;14169;8;A;paul;246;paul;119;14030;14169
Price;lvmh;14162;15;A;paul;246;paul;85;14030;14162
Price;lvmh;14321;30;B;paul;238;paul;247;14321;14581
Price;lvmh;14321;43;B;paul;238;paul;248;14321;14647
Price;lvmh;14378;4;B;paul;239;paul;248;14378;14647
Price;lvmh;14378;33;B;paul;239;paul;249;14378;14642
Price;lvmh;14274;74;A;paul;255;paul;254;14056;14274
Price;lvmh;14274;13;A;paul;257;paul;254;14034;14274
Price;lvmh;14162;1;A;paul;257;paul;85;14034;14162
Price;lvmh;14137;74;A;paul;257;paul;229;14034;14137
Price;lvmh;14126;4;A;paul;257;paul;107;14034;14126
Price;lvmh;14298;18;B;paul;252;paul;259;14298;14425
Price;lvmh;14298;53;B;paul;252;paul;263;14298;14459
Price;lvmh;14298;6;B;paul;252;paul;266;14298;14797
Price;lvmh;14337;17;B;paul;261;paul;266;14337;14797
Price;lvmh;14325;51;B;paul;269;paul;272;14325;14721
Price;lvmh;14325;29;B;paul;269;paul;274;14325;14775
Price;lvmh;14337;22;B;paul;261;paul;274;14337;14775
Price;lvmh;14337;16;B;paul;261;paul;277;14337;14458
Price;lvmh;14341;22;B;paul;276;paul;277;14341;14458
Price;lvmh;14257;35;A;paul;278;paul;260;14030;14257
Price;lvmh;14178;46;A;paul;278;paul;275;14030;14178
Price;lvmh;14341;19;B;paul;276;paul;279;14341;14626
Price;lvmh;14378;3;B;paul;239;paul;279;14378;14626
Price;lvmh;14378;18;B;paul;239;paul;285;14378;14703
Price;lvmh;14392;10;B;paul;265;paul;285;14392;14703
Price;lvmh;14428;26;B;paul;258;paul;285;14428;14703
Price;lvmh;14459;9;B;paul;240;paul;285;14459;14703
Price;lvmh;14459;16;B;paul;240;paul;287;14459;14935
Price;lvmh;14466;81;B;paul;284;paul;287;14466;14935
Price;lvmh;14213;61;A;paul;288;paul;286;14037;14213
Price;lvmh;14178;15;A;paul;288;paul;275;14037;14178
Price;lvmh;14210;63;B;paul;289;paul;292;14210;14634
Price;lvmh;14279;26;B;paul;290;paul;292;14279;14634
Price;lvmh;14279;17;B;paul;290;paul;294;14279;14900
Price;lvmh;14319;12;B;paul;291;paul;294;14319;14900
Price;lvmh;14466;13;B;paul;284;paul;294;14466;14900
Price;lvmh;14466;3;B;paul;284;paul;296;14466;14485
Price;lvmh;14485;21;A;paul;300;paul;296;14116;14485
Price;lvmh;14485;15;A;paul;304;paul;296;14127;14485
Price;lvmh;14488;38;B;paul;253;paul;305;14488;14776
Price;lvmh;14509;25;B;paul;281;paul;305;14509;14776
Price;lvmh;14565;21;B;paul;302;paul;305;14565;14776
Price;lvmh;14485;12;A;paul;306;paul;296;14018;14485
Price;lvmh;14485;23;A;paul;307;paul;296;14103;14485
Price;lvmh;14317;43;A;paul;307;paul;298;14103;14317
Price;lvmh;14565;42;B;paul;302;paul;312;14565;14568
Price;lvmh;14568;9;A;paul;313;paul;312;14475;14568
Price;lvmh;14431;28;A;paul;316;paul;308;14340;14431
Price;lvmh;14340;11;B;paul;316;paul;317;14340;14820
Price;lvmh;14475;18;B;paul;313;paul;317;14475;14820
Price;lvmh;14592;24;B;paul;280;paul;317;14592;14820
Price;lvmh;14521;10;A;paul;321;paul;318;14389;14521
Price;lvmh;14592;44;B;paul;280;paul;323;14592;14946
Price;lvmh;14659;12;B;paul;283;paul;323;14659;14946
Price;lvmh;14521;34;A;paul;325;paul;318;14210;14521
Price;lvmh;14317;13;A;paul;325;paul;298;14210;14317
Price;lvmh;14266;40;A;paul;325;paul;315;14210;14266
Price;lvmh;14266;44;A;paul;326;paul;315;14015;14266
Price;lvmh;14266;5;A;paul;329;paul;315;14087;14266
Price;lvmh;14178;4;A;paul;329;paul;275;14087;14178
Price;lvmh;14126;48;A;paul;329;paul;107;14087;14126
Price;lvmh;14125;21;A;paul;329;paul;244;14087;14125
Price;lvmh;14528;23;B;paul;330;paul;332;14528;14679
Price;lvmh;14528;24;B;paul;330;paul;335;14528;14880
Price;lvmh;14430;45;A;paul;336;paul;331;14112;14430
Price;lvmh;14296;13;A;paul;336;paul;333;14112;14296
Price;lvmh;14125;19;A;paul;336;paul;244;14112;14125
Price;lvmh;14121;13;A;paul;336;paul;154;14112;14121
Price;lvmh;14121;58;A;paul;338;paul;154;14106;14121
Price;lvmh;14114;22;A;paul;338;paul;196;14106;14114
Price;lvmh;14113;14;A;paul;338;paul;90;14106;14113
Price;lvmh;14116;86;B;paul;343;paul;344;14116;14873
Price;lvmh;14219;2;B;paul;342;paul;344;14219;14873
Price;lvmh;14219;37;B;paul;342;paul;347;14219;14376
Price;lvmh;14319;9;B;paul;341;paul;347;14319;14376
Price;lvmh;14113;10;A;paul;348;paul;90;14064;14113
Price;lvmh;14109;2;A;paul;348;paul;54;14064;14109
Price;lvmh;14107;49;A;paul;348;paul;155;14064;14107
Price;lvmh;14319;43;B;paul;341;paul;349;14319;14890
Price;lvmh;14319;10;B;paul;341;paul;350;14319;14556
Price;lvmh;14336;43;B;paul;345;paul;350;14336;14556
Price;lvmh;14336;11;B;paul;345;paul;351;14336;14787
Price;lvmh;14336;13;B;paul;345;paul;352;14336;14618
Price;lvmh;14107;6;A;paul;353;paul;155;14092;14107
Price;lvmh;14105;49;A;paul;353;paul;147;14092;14105
Price;lvmh;14336;4;B;paul;345;paul;355;14336;14571
Price;lvmh;14523;49;B;paul;337;paul;355;14523;14571
Price;lvmh;14528;1;B;paul;330;paul;355;14528;14571
Price;lvmh;14571;34;A;paul;356;paul;355;14424;14571
Price;lvmh;14424;56;B;paul;356;paul;357;14424;14756
Price;lvmh;14633;38;B;paul;346;paul;357;14633;14756
Price;lvmh;14160;47;A;paul;358;paul;354;14084;14160
Price;lvmh;14633;47;B;paul;346;paul;359;14633;14661
Price;lvmh;14659;3;B;paul;283;paul;359;14659;14661
Price;lvmh;14693;28;B;paul;231;paul;360;14693;14922
Price;lvmh;14693;26;B;paul;299;paul;360;14693;14922
Price;lvmh;14693;57;B;paul;299;paul;366;14693;14955
Price;lvmh;14698;17;B;paul;273;paul;366;14698;14955
Price;lvmh;14670;13;A;paul;372;paul;370;14153;14670
Price;lvmh;14670;24;A;paul;375;paul;370;14374;14670
Price;lvmh;14662;19;A;paul;375;paul;361;14374;14662
Price;lvmh;14662;56;A;paul;376;paul;361;14524;14662
Price;lvmh;14661;17;A;paul;376;paul;359;14524;14661
Price;lvmh;14698;42;B;paul;273;paul;378;14698;14858
Price;lvmh;14705;37;B;paul;233;paul;378;14705;14858
Price;lvmh;14708;2;B;paul;69;paul;378;14708;14858
Price;lvmh;14661;4;A;paul;382;paul;359;14262;14661
Price;lvmh;14511;10;A;paul;382;paul;380;14262;14511
Price;lvmh;14511;15;A;paul;383;paul;380;14305;14511
Price;lvmh;14511;22;A;paul;385;paul;380;14233;14511
Price;lvmh;14708;38;B;paul;69;paul;387;14708;14777
Price;lvmh;14700;36;A;paul;388;paul;386;14309;14700
Price;lvmh;14511;19;A;paul;388;paul;380;14309;14511
Price;lvmh;14465;15;A;paul;388;paul;377;14309;14465
Price;lvmh;14631;52;A;paul;390;paul;389;14062;14631
Price;lvmh;14631;3;A;paul;402;paul;389;14391;14631
Price;lvmh;14574;20;A;paul;402;paul;401;14391;14574
Price;lvmh;14574;4;A;paul;406;paul;401;14020;14574
Price;lvmh;14465;18;A;paul;406;paul;377;14020;14465
Price;lvmh;14708;25;B;paul;69;paul;407;14708;14884
Price;lvmh;14717;1;B;paul;205;paul;407;14717;14884
Price;lvmh;14713;30;A;paul;413;paul;412;14402;14713
Price;lvmh;14717;20;B;paul;205;paul;414;14717;14752
Price;lvmh;14713;60;A;paul;415;paul;412;14690;14713
Price;lvmh;14665;30;A;paul;416;paul;408;14259;14665
Price;lvmh;14465;28;A;paul;416;paul;377;14259;14465
Price;lvmh;14690;39;B;paul;415;paul;417;14690;14822
Price;lvmh;14717;32;B;paul;205;paul;417;14717;14822
Price;lvmh;14727;12;B;paul;199;paul;417;14727;14822
Price;lvmh;14632;27;B;paul;418;paul;419;14632;14679
Price;lvmh;14632;23;B;paul;418;paul;420;14632;14898
Price;lvmh;14632;45;B;paul;418;paul;421;14632;14879
Price;lvmh;14727;3;B;paul;199;paul;421;14727;14879
Price;lvmh;14727;26;B;paul;293;paul;421;14727;14879
Price;lvmh;14465;1;A;paul;423;paul;377;14172;14465
Price;lvmh;14416;56;A;paul;423;paul;365;14172;14416
Price;lvmh;14413;17;A;paul;423;paul;405;14172;14413
Price;lvmh;14508;62;B;paul;422;paul;425;14508;14613
Price;lvmh;14613;12;A;paul;426;paul;425;14266;14613
Price;lvmh;14413;69;A;paul;426;paul;405;14266;14413
Price;lvmh;14446;14;B;paul;427;paul;428;14446;14733
Price;lvmh;14446;56;B;paul;427;paul;433;14446;14633
Price;lvmh;14413;6;A;paul;434;paul;405;14233;14413
Price;lvmh;14370;17;A;paul;434;paul;403;14233;14370
Price;lvmh;14369;47;A;paul;434;paul;362;14233;14369
Price;lvmh;14369;29;A;paul;438;paul;362;14226;14369
Price;lvmh;14358;6;A;paul;438;paul;393;14226;14358
Price;lvmh;14412;60;A;paul;440;paul;439;14227;14412
Price;lvmh;14358;24;A;paul;440;paul;393;14227;14358
Price;lvmh;14358;36;A;paul;450;paul;393;14103;14358
Price;lvmh;14343;6;A;paul;450;paul;363;14103;14343
Price;lvmh;14387;10;B;paul;451;paul;452;14387;14527
Price;lvmh;14387;31;B;paul;451;paul;457;14387;14992
Price;lvmh;14429;10;B;paul;443;paul;457;14429;14992
Price;lvmh;14429;43;B;paul;443;paul;458;14429;14538
Price;lvmh;14429;24;B;paul;443;paul;460;14429;14641
Price;lvmh;14431;19;B;paul;436;paul;460;14431;14641
Price;lvmh;14446;10;B;paul;427;paul;460;14446;14641
Price;lvmh;14476;7;B;paul;454;paul;460;14476;14641
Price;lvmh;14476;26;B;paul;454;paul;463;14476;14980
Price;lvmh;14476;18;B;paul;454;paul;465;14476;14770
Price;lvmh;14477;61;B;paul;442;paul;465;14477;14770
Price;lvmh;14507;1;B;paul;456;paul;465;14507;14770
Price;lvmh;14507;37;B;paul;456;paul;466;14507;14931
Price;lvmh;14529;38;B;paul;447;paul;466;14529;14931
Price;lvmh;14529;36;B;paul;447;paul;468;14529;14783
Price;lvmh;14343;48;A;paul;469;paul;363;14275;14343
Price;lvmh;14275;23;B;paul;469;paul;470;14275;14578
Price;lvmh;14529;23;B;paul;447;paul;470;14529;14578
Price;lvmh;14563;6;B;paul;444;paul;470;14563;14578
Price;lvmh;14563;24;B;paul;444;paul;472;14563;14836
Price;lvmh;14344;82;B;paul;473;paul;476;14344;14747
Price;lvmh;14344;13;B;paul;473;paul;477;14344;14474
Price;lvmh;14563;55;B;paul;444;paul;478;14563;14630
Price;lvmh;14566;24;B;paul;435;paul;478;14566;14630
Price;lvmh;14613;8;B;paul;464;paul;478;14613;14630
Price;lvmh;14474;9;A;paul;479;paul;477;14059;14474
Price;lvmh;14323;38;A;paul;479;paul;475;14059;14323
Price;lvmh;14613;5;B;paul;464;paul;482;14613;14872
Price;lvmh;14666;57;B;paul;432;paul;482;14666;14872
Price;lvmh;14666;7;B;paul;432;paul;484;14666;14727
Price;lvmh;14667;36;B;paul;462;paul;484;14667;14727
Price;lvmh;14323;24;A;paul;485;paul;475;14177;14323
Price;lvmh;14269;28;A;paul;485;paul;367;14177;14269
Price;lvmh;14257;45;A;paul;485;paul;445;14177;14257
Price;lvmh;14663;28;A;paul;487;paul;486;14016;14663
Price;lvmh;14663;18;A;paul;488;paul;486;14519;14663
Price;lvmh;14519;48;B;paul;488;paul;492;14519;14606
Price;lvmh;14667;17;B;paul;462;paul;493;14667;14836
Price;lvmh;14679;20;B;paul;431;paul;493;14679;14836
Price;lvmh;14724;54;B;paul;483;paul;493;14724;14836
Price;lvmh;14606;27;A;paul;495;paul;492;14182;14606
Price;lvmh;14257;43;A;paul;495;paul;445;14182;14257
Price;lvmh;14245;9;A;paul;495;paul;461;14182;14245
